22:45:15 [INFO] main.py:71 - Starting network simulation. topology=simple-star, k=[4], visualize=True, verbose=True, link-failure=[0.0, 5.0, 10.0, 20.0]
22:45:15 [INFO] main.py:46 - Creating Simple Star topology with link-failure=0.0%
22:45:15 [INFO] main.py:46 - Creating Simple Star topology with link-failure=5.0%
22:45:15 [INFO] main.py:46 - Creating Simple Star topology with link-failure=10.0%
22:45:15 [INFO] main.py:46 - Creating Simple Star topology with link-failure=20.0%
22:45:15 [DEBUG] simulator_creator.py:36 - Creating topology...
22:45:15 [DEBUG] simulator_creator.py:38 - topology created.
22:45:15 [DEBUG] simulator_creator.py:49 - Creating scenario...
22:45:15 [DEBUG] simulator_creator.py:51 - Scenario created.
22:45:16 [INFO] visualizer.py:281 - Topology saved to C:\Users\alonz\repos\studies\networks\network_sim\results\topology_simple star_20251111_224516_1.png
22:45:16 [INFO] main.py:77 - Starting simulation
22:45:16 [DEBUG] network_node.py:126 - H1 sending for destination 10.1.1.1 through port 1 to link H1E1
22:45:16 [DEBUG] network_node.py:126 - H1 sending for destination 10.1.1.2 through port 1 to link H1E1
22:45:16 [DEBUG] network_node.py:126 - H1 sending for destination 10.2.1.1 through port 1 to link H1E1
22:45:16 [DEBUG] network_node.py:126 - H1 sending for destination 10.2.1.2 through port 1 to link H1E1
22:45:16 [DEBUG] network_node.py:126 - H2 sending for destination 10.1.1.1 through port 1 to link H2E1
22:45:16 [DEBUG] network_node.py:126 - H2 sending for destination 10.1.1.2 through port 1 to link H2E1
22:45:16 [DEBUG] network_node.py:126 - H2 sending for destination 10.2.1.1 through port 1 to link H2E1
22:45:16 [DEBUG] network_node.py:126 - H2 sending for destination 10.2.1.2 through port 1 to link H2E1
22:45:16 [DEBUG] network_node.py:126 - H3 sending for destination 10.1.1.1 through port 1 to link H3E2
22:45:16 [DEBUG] network_node.py:126 - H3 sending for destination 10.1.1.2 through port 1 to link H3E2
22:45:16 [DEBUG] network_node.py:126 - H3 sending for destination 10.2.1.1 through port 1 to link H3E2
22:45:16 [DEBUG] network_node.py:126 - H3 sending for destination 10.2.1.2 through port 1 to link H3E2
22:45:16 [DEBUG] network_node.py:126 - H4 sending for destination 10.1.1.1 through port 1 to link H4E2
22:45:16 [DEBUG] network_node.py:126 - H4 sending for destination 10.1.1.2 through port 1 to link H4E2
22:45:16 [DEBUG] network_node.py:126 - H4 sending for destination 10.2.1.1 through port 1 to link H4E2
22:45:16 [DEBUG] network_node.py:126 - H4 sending for destination 10.2.1.2 through port 1 to link H4E2
22:45:16 [DEBUG] network_node.py:126 - H1 sending for destination 10.1.1.1 through port 1 to link H1E1
22:45:16 [DEBUG] network_node.py:126 - H1 sending for destination 10.1.1.2 through port 1 to link H1E1
22:45:16 [DEBUG] network_node.py:126 - H1 sending for destination 10.2.1.1 through port 1 to link H1E1
22:45:16 [DEBUG] network_node.py:126 - H1 sending for destination 10.2.1.2 through port 1 to link H1E1
22:45:16 [DEBUG] network_node.py:126 - H2 sending for destination 10.1.1.1 through port 1 to link H2E1
22:45:16 [DEBUG] network_node.py:126 - H2 sending for destination 10.1.1.2 through port 1 to link H2E1
22:45:16 [DEBUG] network_node.py:126 - H2 sending for destination 10.2.1.1 through port 1 to link H2E1
22:45:16 [DEBUG] network_node.py:126 - H2 sending for destination 10.2.1.2 through port 1 to link H2E1
22:45:16 [DEBUG] network_node.py:126 - H3 sending for destination 10.1.1.1 through port 1 to link H3E2
22:45:16 [DEBUG] network_node.py:126 - H3 sending for destination 10.1.1.2 through port 1 to link H3E2
22:45:16 [DEBUG] network_node.py:126 - H3 sending for destination 10.2.1.1 through port 1 to link H3E2
22:45:16 [DEBUG] network_node.py:126 - H3 sending for destination 10.2.1.2 through port 1 to link H3E2
22:45:16 [DEBUG] network_node.py:126 - H4 sending for destination 10.1.1.1 through port 1 to link H4E2
22:45:16 [DEBUG] network_node.py:126 - H4 sending for destination 10.1.1.2 through port 1 to link H4E2
22:45:16 [DEBUG] network_node.py:126 - H4 sending for destination 10.2.1.1 through port 1 to link H4E2
22:45:16 [DEBUG] network_node.py:126 - H4 sending for destination 10.2.1.2 through port 1 to link H4E2
22:45:16 [DEBUG] network_node.py:126 - H1 sending for destination 10.1.1.1 through port 1 to link H1E1
